Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Gender,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6913be3d53ce8da9fa13a856,59d4b503e59146000112e521,AWAITING REVIEW,Not Applicable,2025-11-11T22:52:51.750000Z,2025-11-11T23:20:55.882000Z,,2025-11-11T23:20:56.275526Z,1685.0,CURFFCKX,874,Woman (including Trans Female/Trans Woman),45,Female,Asian,Hong Kong,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6913be98c1a280288d4f3868,5bbb5e3f118c0600013c3202,AWAITING REVIEW,Not Applicable,2025-11-11T22:54:21.299000Z,2025-11-11T23:02:43.834000Z,,2025-11-11T23:02:44.194015Z,503.0,CURFFCKX,6693,Woman (including Trans Female/Trans Woman),39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913be9f645cf9db4ecbabf1,66b5172c8f0bd3b23ce66c22,AWAITING REVIEW,Not Applicable,2025-11-11T22:54:30.566000Z,2025-11-11T23:07:43.470000Z,,2025-11-11T23:07:43.887050Z,793.0,CURFFCKX,2322,Woman (including Trans Female/Trans Woman),28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913beb4804165e0125f2e9c,5a47473899311d0001df550e,AWAITING REVIEW,Not Applicable,2025-11-11T22:55:29.206000Z,2025-11-11T23:10:28.561000Z,,2025-11-11T23:10:28.999396Z,900.0,CURFFCKX,1309,Woman (including Trans Female/Trans Woman),42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bf0f140f7f915a727773,6658c4239af9537eefdfbcc9,AWAITING REVIEW,Not Applicable,2025-11-11T22:57:05.287000Z,2025-11-11T23:05:24.661000Z,,2025-11-11T23:05:25.150174Z,500.0,CURFFCKX,4043,Woman (including Trans Female/Trans Woman),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913bf752a0d67ef795a8c80,60461bfeeac81b04cf62f7a6,AWAITING REVIEW,Not Applicable,2025-11-11T22:58:00.895000Z,2025-11-11T23:12:44.566000Z,,2025-11-11T23:12:44.962428Z,884.0,CURFFCKX,3426,Woman (including Trans Female/Trans Woman),64,Female,White,Malawi,United Kingdom,United Kingdom,English,No,Part-Time
6913bf953240b986a2058c51,65ddeb426c748b12456eed89,AWAITING REVIEW,Not Applicable,2025-11-11T22:59:46.299000Z,2025-11-11T23:13:02.082000Z,,2025-11-11T23:13:02.489081Z,796.0,CURFFCKX,1748,Woman (including Trans Female/Trans Woman),43,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913bfa2e32f04a5e08962b9,67803b5508f3d995ef13696b,AWAITING REVIEW,Not Applicable,2025-11-11T22:59:42.063000Z,2025-11-11T23:21:38.001000Z,,2025-11-11T23:21:38.384162Z,1316.0,CURFFCKX,1368,Woman (including Trans Female/Trans Woman),56,Female,DATA_EXPIRED,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6913c017dfd4bcb9caa674b3,6772fd60f775cd72008c803f,AWAITING REVIEW,Not Applicable,2025-11-11T23:00:47.184000Z,2025-11-11T23:13:27.107000Z,,2025-11-11T23:13:27.519758Z,760.0,CURFFCKX,55,Woman (including Trans Female/Trans Woman),33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6913c0844690ca3fa74ef93b,6156fef09d1ab07148870099,AWAITING REVIEW,Not Applicable,2025-11-11T23:02:32.849000Z,2025-11-11T23:15:18.702000Z,,2025-11-11T23:15:19.078789Z,766.0,CURFFCKX,6276,Woman (including Trans Female/Trans Woman),48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913c240bcde424038235a69,5b2bcfb51835660001cc6751,AWAITING REVIEW,Not Applicable,2025-11-11T23:10:34.699000Z,2025-11-11T23:30:08.584000Z,,2025-11-11T23:30:08.962387Z,1174.0,CURFFCKX,3940,Woman (including Trans Female/Trans Woman),44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6913c391c04f1438d0689aa9,66bcce7233ce3b6b5aaecd5e,AWAITING REVIEW,Not Applicable,2025-11-11T23:15:32.966000Z,2025-11-11T23:29:38.780000Z,,2025-11-11T23:29:39.182165Z,846.0,CURFFCKX,1687,Woman (including Trans Female/Trans Woman),55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6913c45a8f2bcc5d61d56391,5f0db498f5e4e102c0f65b67,AWAITING REVIEW,Not Applicable,2025-11-11T23:18:53.526000Z,2025-11-11T23:42:41.170000Z,,2025-11-11T23:42:41.568327Z,1428.0,CURFFCKX,2532,Woman (including Trans Female/Trans Woman),21,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6913c5049d7d62039c9de5e3,5e06b4cb19232d0875f2276d,AWAITING REVIEW,Not Applicable,2025-11-11T23:22:25.631000Z,2025-11-11T23:33:08.647000Z,,2025-11-11T23:33:09.041258Z,644.0,CURFFCKX,3469,Woman (including Trans Female/Trans Woman),36,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Part-Time
6913c739ebdcac22d72d83c3,5bd2a0799afb5b00015be460,AWAITING REVIEW,Not Applicable,2025-11-11T23:31:31.636000Z,2025-11-11T23:54:24.839000Z,,2025-11-11T23:54:25.457283Z,1374.0,CURFFCKX,6248,Woman (including Trans Female/Trans Woman),42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6913c7a9beabd74d7e14eea5,6119a4dcb2953de222131626,AWAITING REVIEW,Not Applicable,2025-11-11T23:33:32.931000Z,2025-11-11T23:49:43.600000Z,,2025-11-11T23:49:43.972498Z,971.0,CURFFCKX,378,Woman (including Trans Female/Trans Woman),29,Female,Black,Tanzania,United Kingdom,United Kingdom,Swahili,No,Full-Time
6913c7c0e865e767f23a1a02,5f1088e27a43fe0c64ca5814,AWAITING REVIEW,Not Applicable,2025-11-11T23:33:39.350000Z,2025-11-11T23:47:08.907000Z,,2025-11-11T23:47:09.319854Z,810.0,CURFFCKX,1809,Woman (including Trans Female/Trans Woman),58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
